tx_id,student_id,amount,channel,timestamp
TXN-F5094717,STU97907,329000,Wallet,2026-05-08T11:44:13.060738
TXN-D22B06B9,STU86171,258000,Bank,2026-05-10T13:05:13.060738
TXN-4C49F36F,STU68119,482000,Wallet,2026-05-10T16:32:13.060738
TXN-0FE2CB97,STU37191,391000,Wallet,2026-05-07T13:38:13.060738
TXN-1E4D08AE,STU72961,128000,Bank,2026-05-08T19:22:13.060738
TXN-CAF8ECCB,STU21154,402000,Bank,2026-05-09T19:40:13.060738
TXN-E53891CD,STU69215,95000,Wallet,2026-05-10T12:26:13.060738
TXN-0932412E,STU29079,468000,Wallet,2026-05-10T19:50:13.060738
TXN-6158A7CC,STU26059,77000,Bank,2026-05-11T09:43:13.060738
TXN-AAA09F8A,STU43477,226000,Wallet,2026-05-10T06:13:13.060738
TXN-B320CF36,STU97889,469000,Bank,2026-05-08T21:04:13.060738
TXN-34D97B81,STU18144,359000,Wallet,2026-05-08T23:40:13.060738
TXN-C71C2A96,STU48904,446000,Wallet,2026-05-06T17:06:13.060738
TXN-13F32EF6,STU97259,79000,Bank,2026-05-07T15:09:13.060738
TXN-25DB6446,STU34331,403000,Wallet,2026-05-07T02:42:13.060738
TXN-39880975,STU77589,238000,Bank,2026-05-07T15:29:13.060738
TXN-A996B258,STU83265,336000,Wallet,2026-05-06T09:11:13.060738
TXN-9CDD340A,STU59463,209000,Bank,2026-05-07T06:59:13.060738
TXN-47F607E4,STU92816,185000,Wallet,2026-05-08T08:31:13.060738
TXN-B2CC660A,STU91949,310000,Bank,2026-05-11T03:16:13.060738
TXN-F83E9858,STU85320,369000,Bank,2026-05-11T08:56:13.060738
TXN-27DEF30C,STU94158,133000,Wallet,2026-05-06T17:58:13.060738
TXN-4E2B3F09,STU85488,321000,Wallet,2026-05-05T22:56:13.060738
TXN-A8725CA9,STU60063,94000,Wallet,2026-05-05T05:31:13.060738
TXN-5198F530,STU40896,249000,Wallet,2026-05-06T00:20:13.060738
TXN-4C303C24,STU22821,392000,Bank,2026-05-07T11:05:13.060738
TXN-208C66A3,STU99226,363000,Bank,2026-05-08T01:08:13.060738
TXN-1BA3608B,STU28199,434000,Bank,2026-05-08T22:57:13.060738
TXN-E08A0BD5,STU67608,186000,Wallet,2026-05-11T02:19:13.060738
TXN-B919049B,STU86418,146000,Bank,2026-05-05T18:07:13.060738
TXN-40B81B78,STU35348,397000,Bank,2026-05-07T03:21:13.060738
TXN-A97F75A2,STU47390,228000,Wallet,2026-05-05T19:27:13.060738
TXN-7A99C1DD,STU30132,335000,Wallet,2026-05-09T18:48:13.060738
TXN-8FB7FFC3,STU75105,444000,Bank,2026-05-09T00:02:13.060738
TXN-AF959D95,STU61628,190000,Bank,2026-05-07T09:39:13.060738
TXN-D43FA59E,STU87063,226000,Bank,2026-05-10T19:52:13.060738
